ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2000-02-16,308.715292122989,159.52121422240634,383.76482440599875,308.715292122989,308.715292122989,-33.438083117944146,-33.438083117944146,-33.438083117944146,9.377970628171429,9.377970628171429,9.377970628171429,-42.81605374611558,-42.81605374611558,-42.81605374611558,0.0,0.0,0.0,275.2772090050449
2000-02-17,308.72122151696703,161.3004188006529,379.054161160322,308.72122151696703,308.72122151696703,-34.5771358196813,-34.5771358196813,-34.5771358196813,7.88610636000462,7.88610636000462,7.88610636000462,-42.46324217968592,-42.46324217968592,-42.46324217968592,0.0,0.0,0.0,274.14408569728573
2000-02-18,308.72715091094506,152.68095042847645,381.81848673389436,308.72715091094506,308.72715091094506,-40.84095844281183,-40.84095844281183,-40.84095844281183,1.2695676508201938,1.2695676508201938,1.2695676508201938,-42.11052609363203,-42.11052609363203,-42.11052609363203,0.0,0.0,0.0,267.88619246813323
2000-02-19,308.7330803049231,145.18657366732262,363.3049709356632,308.7330803049231,308.7330803049231,-57.025315968249785,-57.025315968249785,-57.025315968249785,-15.249494317821707,-15.249494317821707,-15.249494317821707,-41.77582165042808,-41.77582165042808,-41.77582165042808,0.0,0.0,0.0,251.70776433667328
2000-02-20,308.7390096989011,141.8693953851494,350.0486872746292,308.7390096989011,308.7390096989011,-58.54912780779118,-58.54912780779118,-58.54912780779118,-17.07339137904559,-17.07339137904559,-17.07339137904559,-41.47573642874559,-41.47573642874559,-41.47573642874559,0.0,0.0,0.0,250.1898818911099
2000-02-21,308.7449390928791,164.07579307112104,382.53383678545174,308.7449390928791,308.7449390928791,-36.14905208260205,-36.14905208260205,-36.14905208260205,5.076046282621668,5.076046282621668,5.076046282621668,-41.225098365223715,-41.225098365223715,-41.225098365223715,0.0,0.0,0.0,272.59588701027707
2000-02-22,308.75086848685714,164.43543142923048,381.8859889657029,308.75086848685714,308.75086848685714,-32.323349145078666,-32.323349145078666,-32.323349145078666,8.713194775245475,8.713194775245475,8.713194775245475,-41.03654392032414,-41.03654392032414,-41.03654392032414,0.0,0.0,0.0,276.42751934177846
2000-02-23,308.75679788083517,175.23592152727463,386.5686950276457,308.75679788083517,308.75679788083517,-31.542205952893752,-31.542205952893752,-31.542205952893752,9.377970628168454,9.377970628168454,9.377970628168454,-40.920176581062215,-40.920176581062215,-40.920176581062215,0.0,0.0,0.0,277.2145919279414
2000-02-24,308.7627272748132,172.9249507970015,388.303445445744,308.7627272748132,308.7627272748132,-32.99719830882024,-32.99719830882024,-32.99719830882024,7.886106360007537,7.886106360007537,7.886106360007537,-40.88330466882777,-40.88330466882777,-40.88330466882777,0.0,0.0,0.0,275.7655289659929
2000-02-25,308.7686566687912,156.82398737330612,376.9627403571085,308.7686566687912,308.7686566687912,-39.66069738444133,-39.66069738444133,-39.66069738444133,1.2695676508051488,1.2695676508051488,1.2695676508051488,-40.93026503524647,-40.93026503524647,-40.93026503524647,0.0,0.0,0.0,269.1079592843499
