Date,Total_permits_Lakeland,ln_Total_permits_Lakeland
2016-04-01,261.60072310978,5.56681938376034
2016-05-01,262.829193059708,5.571504365143092
2016-06-01,533.34515199306,6.279168779301221
2016-07-01,374.6149162383619,5.925898608326577
2016-08-01,548.226175785449,6.3066879313341
2016-09-01,281.779731788916,5.641125672778968
2016-10-01,231.5335249306,5.444724679156351
2016-11-01,253.216994356422,5.534246806328992
2016-12-01,302.902306671153,5.713410333293575
2017-01-01,404.364592362496,6.002316927335066
2017-02-01,317.486658029791,5.760435795496385
2017-03-01,310.22314776535,5.737291870025888
2017-04-01,317.959849347857,5.761925114896324
2017-05-01,377.95936571573503,5.934786691734731
2017-06-01,338.636977659577,5.824928671236558
2017-07-01,376.2648439181551,5.930293267559032
2017-08-01,327.633758574748,5.791896394822285
2017-09-01,206.705554177892,5.33129533704704
2017-10-01,384.08258188304,5.950857586453371
2017-11-01,334.202117748671,5.811745952911626
2017-12-01,302.577535383891,5.712337559946385
2018-01-01,344.73516107808,5.84277647318891
2018-02-01,326.355252410883,5.787986519362263
2018-03-01,401.0050699128231,5.993974070400768
2018-04-01,380.127085547944,5.940505632461778
2018-05-01,411.823249883386,6.020594252163082
2018-06-01,430.1942775533431,6.064236914916576
2018-07-01,341.965189236128,5.834708946022798
2018-08-01,305.186959613862,5.720924571151008
2018-09-01,340.56542513339804,5.830607251430007
2018-10-01,362.20319504165,5.892205366618716
2018-11-01,403.980900585323,6.001367601064712
2018-12-01,497.603730171771,6.209804037722779
2019-01-01,430.3889105634301,6.064689243096101
2019-02-01,467.0841342588329,6.146509400454701
2019-03-01,420.878473807463,6.042344131221962
2019-04-01,447.210087227964,6.103028477999655
2019-05-01,857.397157062303,6.753901238392463
2019-06-01,511.12045435154505,6.236605285226908
2019-07-01,542.253456007892,6.295733523145211
2019-08-01,674.007120569514,6.513240675499698
2019-09-01,712.164391059606,6.568308771081503
2019-10-01,933.444426208967,6.838881428492941
2019-11-01,854.9244354820821,6.751013085477937
2019-12-01,699.617050150609,6.550533114131933
2020-01-01,715.2386209171941,6.57261622256521
2020-02-01,681.027240083482,6.523602305472116
2020-03-01,663.30460782941,6.4972343233329655
2020-04-01,312.065205827674,5.743212159010897
2020-05-01,428.74661921200106,6.060866113229238
2020-06-01,869.450682258048,6.767861612528498
2020-07-01,846.652338418286,6.741290148073266
2020-08-01,507.8435250127751,6.230173378501681
2020-09-01,937.795561765146,6.843531974041542
2020-10-01,1094.66237120472,6.998201257905694
2020-11-01,1071.57383156319,6.97688371740512
2020-12-01,1007.87682766599,6.91560124638912
2021-01-01,949.7423093443,6.85619069447696
2021-02-01,915.8051052310067,6.819803574820917
2021-03-01,1136.6103525776,7.035805737195286
2021-04-01,1181.71196493063,7.074719483778301
2021-05-01,864.2327364422471,6.761842103412464
2021-06-01,743.970279376614,6.612001086960743
2021-07-01,841.2836922273619,6.734928930352923
2021-08-01,892.5175976775598,6.7940462307451925
2021-09-01,1063.64211684938,6.969454256976539
2021-10-01,857.917042247239,6.754507407455908
2021-11-01,930.14923363591,6.835345039549138
2021-12-01,726.3275357217972,6.588001064218674
2022-01-01,966.0207803429809,6.87318534572336
2022-02-01,1189.88947705238,7.081615705365722
