Date,SF_permits_Florida,ln_SF_permits_Florida
2018-10-01,8109.326724455659,9.000770125716997
2018-11-01,8466.147346528049,9.04383082543308
2018-12-01,7626.2111931464915,8.9393464338639
2019-01-01,7993.07934890048,8.98633136487569
2019-02-01,8036.446959321558,8.991742344014984
2019-03-01,7491.67178376573,8.921547253710285
2019-04-01,7721.408991206011,8.951752138179817
2019-05-01,8173.47529119418,9.008649469648114
2019-06-01,7462.258659242759,8.917613416707912
2019-07-01,8594.99353276056,9.058935165374614
2019-08-01,8708.931581825209,9.072104396630788
2019-09-01,8482.349438002151,9.045742746781098
2019-10-01,9270.899409045249,9.134635677482889
2019-11-01,8474.79124821245,9.044851300465934
2019-12-01,8927.63207741226,9.096906473804673
2020-01-01,9490.593043450188,9.15805638105823
2020-02-01,9332.27045284124,9.141233613951682
2020-03-01,9022.19928850258,9.10744340689558
2020-04-01,7905.15497383313,8.975270353984376
2020-05-01,7475.242666391919,8.919351861463312
2020-06-01,8033.87875227,8.991422722979355
2020-07-01,9424.440709355558,9.15106166937302
2020-08-01,9513.5855297844,9.160476111799468
2020-09-01,10933.7693097021,9.29961138079649
2020-10-01,11198.6874001126,9.323551853996632
2020-11-01,11109.5053443757,9.315556358183944
2020-12-01,12803.9362574542,9.4575079227467
2021-01-01,11428.6582261683,9.34387935936159
2021-02-01,10428.8409321083,9.2523304135462
2021-03-01,11864.0549896096,9.381268518804465
2021-04-01,12183.8028037595,9.407862709591715
2021-05-01,11761.2033045446,9.372561538033116
2021-06-01,13185.5698415808,9.486878316782622
2021-07-01,12598.20649358,9.441309741028652
2021-08-01,12080.525793572,9.399349996499526
2021-09-01,12425.0363617676,9.427468777460957
2021-10-01,11060.5627238677,9.311141152974402
2021-11-01,12624.864631248998,9.443423531808769
2021-12-01,13027.2929639398,9.474801894424486
2022-01-01,12457.6568758049,9.430090722956455
2022-02-01,12897.4789363283,9.4647871399582
2022-03-01,12209.0898519754,9.409936023128662
2022-04-01,12717.3040404424,9.450718867924177
2022-05-01,11610.6793470334,9.359680586936427
2022-06-01,10896.1880493694,9.296168286809511
2022-07-01,9724.19307249395,9.182372190493318
2022-08-01,10180.2840886687,9.228208196264122
2022-09-01,9276.14093073615,9.135200891310477
2022-10-01,9043.24688793833,9.109773557920198
2022-11-01,9065.819824119508,9.112266557502238
2022-12-01,8956.56305069198,9.100141844287831
2023-01-01,8548.46720385294,9.053507271456064
2023-02-01,9168.516805796353,9.123530807980543
2023-03-01,9976.206486219007,9.20795818544348
2023-04-01,8686.16523355963,9.069486835888693
2023-05-01,10377.3138291474,9.247377339910566
2023-06-01,11347.9343369701,9.33679100960341
2023-07-01,10261.1485088198,9.236120052890678
2023-08-01,11346.9358227277,9.336703014894823
2023-09-01,11943.971966628798,9.387981992149024
2023-10-01,11428.7319882801,9.343885813476529
2023-11-01,11268.684561504298,9.329782879858055
2023-12-01,11059.720861374,9.311065036184049
2024-01-01,12113.1839895968,9.40204972433402
2024-02-01,10920.8123756726,9.298425639908459
2024-03-01,9728.10120161347,9.182774007278221
2024-04-01,11111.149059873998,9.315704303016837
2024-05-01,11438.4362778873,9.34473456659513
2024-06-01,9699.10870068095,9.179789273741912
2024-07-01,10752.0386635969,9.282850658701118
2024-08-01,9952.539689816767,9.205583042790838
2024-09-01,9515.938304305258,9.160723388037525
2024-10-01,9908.059568312941,9.201103802734186
2024-11-01,9884.510597296809,9.198724224747998
2024-12-01,10158.5196963362,9.226068011337809
