Date,CPI_value,ln_CPI_value
2013-01-01,231.679,5.445352792889694
2013-02-01,232.937,5.450768030738649
2013-03-01,232.282,5.447952150764697
2013-04-01,231.797,5.445861988630356
2013-05-01,231.893,5.4462760583811445
2013-06-01,232.445,5.448653637903099
2013-07-01,232.9,5.450609176890295
2013-08-01,233.456,5.452993622521666
2013-09-01,233.544,5.453370496187798
2013-10-01,233.669,5.453905584051288
2013-11-01,234.1,5.455748374496865
2013-12-01,234.719,5.458389053990231
2014-01-01,235.288,5.460810295707806
2014-02-01,235.547,5.461910468915507
2014-03-01,236.028,5.463950442055756
2014-04-01,236.468,5.465812892223319
2014-05-01,236.918,5.467714089705059
2014-06-01,237.231,5.469034349983856
2014-07-01,237.498,5.470159202386607
2014-08-01,237.46,5.469999188237646
2014-09-01,237.477,5.4700707766799335
2014-10-01,237.43,5.469872843189151
2014-11-01,236.983,5.467988408604609
2014-12-01,236.252,5.4648990319464845
2015-01-01,234.747,5.458508338453997
2015-02-01,235.342,5.4610397753424955
2015-03-01,235.976,5.463730104939077
2015-04-01,236.222,5.464772040831459
2015-05-01,237.001,5.468064360535513
2015-06-01,237.657,5.470828457707228
2015-07-01,238.034,5.472413520611222
2015-08-01,238.033,5.472409319521879
2015-09-01,237.498,5.470159202386607
2015-10-01,237.733,5.471148195188653
2015-11-01,238.017,5.472342099692004
2015-12-01,237.761,5.471265967442488
2016-01-01,237.652,5.4708074187620355
2016-02-01,237.336,5.469476858635799
2016-03-01,238.08,5.472606751644727
2016-04-01,238.992,5.476430078567937
2016-05-01,239.557,5.478791384359091
2016-06-01,240.222,5.481563495793126
2016-07-01,240.101,5.481059668149813
2016-08-01,240.545,5.482907182229998
2016-09-01,241.176,5.485526957414767
2016-10-01,241.741,5.487866905098523
2016-11-01,242.026,5.489045158402165
2016-12-01,242.637,5.491566499307847
2017-01-01,243.618,5.495601424731506
2017-02-01,244.006,5.497192815154803
2017-03-01,243.892,5.496725504355929
2017-04-01,244.193,5.4979588962370896
2017-05-01,244.004,5.4971846186014535
2017-06-01,244.163,5.497836035045509
2017-07-01,244.243,5.498163631351514
2017-08-01,245.183,5.502004870500302
2017-09-01,246.435,5.50709826702641
2017-10-01,246.626,5.507873019073535
2017-11-01,247.284,5.5105374736878545
2017-12-01,247.805,5.512642146554028
2018-01-01,248.859,5.516886471015856
2018-02-01,249.529,5.519575140902034
2018-03-01,249.577,5.519767484813539
2018-04-01,250.227,5.522368505879615
2018-05-01,250.792,5.524623910323381
2018-06-01,251.018,5.525524649707929
2018-07-01,251.214,5.526305165525123
2018-08-01,251.663,5.528090890938355
2018-09-01,252.182,5.53015104905668
2018-10-01,252.772,5.532487896644746
2018-11-01,252.594,5.531783456665163
2018-12-01,252.767,5.5324681157771955
2019-01-01,252.561,5.531652803697076
2019-02-01,253.319,5.5346495640642495
2019-03-01,254.277,5.538424223980678
2019-04-01,255.233,5.542176853455601
2019-05-01,255.296,5.542423656282941
2019-06-01,255.213,5.542098490612086
2019-07-01,255.802,5.544403707722465
2019-08-01,256.036,5.545318059592794
2019-09-01,256.43,5.546855722882189
2019-10-01,257.155,5.549679015936231
2019-11-01,257.879,5.552490482662294
2019-12-01,258.63,5.555398468889943
2020-01-01,259.127,5.55731828900884
2020-02-01,259.25,5.557792847109637
2020-03-01,258.076,5.553254115186731
2020-04-01,256.032,5.545302436667713
2020-05-01,255.802,5.544403707722465
2020-06-01,257.042,5.549239495667466
2020-07-01,258.352,5.554322996139265
2020-08-01,259.316,5.558047395230248
2020-09-01,259.997,5.56067009248742
2020-10-01,260.319,5.561907802037412
2020-11-01,260.911,5.564179353001697
2020-12-01,262.045,5.568516244737962
2021-01-01,262.639,5.570780465692942
2021-02-01,263.573,5.574330369461162
2021-03-01,264.847,5.579152300760062
2021-04-01,266.625,5.585843176791514
2021-05-01,268.404,5.592493308116134
2021-06-01,270.71,5.601048137201335
2021-07-01,271.965,5.6056733815458815
2021-08-01,272.752,5.608562957408569
2021-09-01,273.942,5.612916405148828
2021-10-01,276.528,5.622312081658137
2021-11-01,278.824,5.630580758395195
2021-12-01,280.806,5.637664039444742
2022-01-01,282.542,5.643827212102196
2022-02-01,284.525,5.650821123167954
2022-03-01,287.467,5.661108071040681
2022-04-01,288.582,5.664979274332307
2022-05-01,291.299,5.674350231072438
2022-06-01,295.072,5.687219394356731
2022-07-01,294.94,5.6867719458227945
2022-08-01,295.162,5.687524358153115
2022-09-01,296.421,5.691780741114604
2022-10-01,297.979,5.6970230142236336
2022-11-01,298.708,5.699466507588555
2022-12-01,298.808,5.699801226661965
2023-01-01,300.456,5.705301320625471
2023-02-01,301.476,5.708690411008784
2023-03-01,301.643,5.709244198915542
2023-04-01,302.858,5.713264048795419
2023-05-01,303.316,5.714775166352928
2023-06-01,304.099,5.717353306285935
2023-07-01,304.615,5.7190486841599295
2023-08-01,306.138,5.724035980683444
2023-09-01,307.374,5.728065247176042
2023-10-01,307.653,5.728972524479765
2023-11-01,308.087,5.7303822106196
2023-12-01,308.735,5.732483303766044
2024-01-01,309.794,5.735907560461455
2024-02-01,311.022,5.739863649227149
2024-03-01,312.107,5.743346077733961
2024-04-01,313.016,5.7462543074445245
2024-05-01,313.14,5.746650374883377
2024-06-01,313.131,5.746621633332193
2024-07-01,313.566,5.74800986423121
2024-08-01,314.131,5.749810096357823
2024-09-01,314.851,5.752099511045318
2024-10-01,315.564,5.754361514024355
2024-11-01,316.449,5.75716209115944
2024-12-01,317.603,5.760802175172198
2025-01-01,319.086,5.765460658927812
