Date,Total_permits_Florida,ln_Total_permits_Florida
2016-11-01,10024.6971920536,9.212807046437145
2016-12-01,10314.5122135377,9.241307135345766
2017-01-01,9813.96584077939,9.19156173598141
2017-02-01,8578.596872277629,9.057025644409174
2017-03-01,9701.14184821265,9.179998873874036
2017-04-01,10030.4714045629,9.213382879309458
2017-05-01,10782.0559997029,9.285638549812159
2017-06-01,11089.8244072965,9.313783246792237
2017-07-01,9833.89294532697,9.193590161734775
2017-08-01,10138.5506194646,9.224100329992286
2017-09-01,8473.772912497638,9.044731132679875
2017-10-01,10080.0842791468,9.218316902616875
2017-11-01,9536.79147821299,9.162912384834584
2017-12-01,9173.83507661072,9.124110697734865
2018-01-01,11128.4404988309,9.317259317545822
2018-02-01,10965.0680456971,9.302469866550663
2018-03-01,11352.2824822036,9.337174102445324
2018-04-01,12345.9825554552,9.421085989981451
2018-05-01,11407.0286529424,9.341984992898364
2018-06-01,11727.9390965665,9.36972923111896
2018-07-01,12903.7152067128,9.465270549405947
2018-08-01,11361.109029145,9.337951313315072
2018-09-01,11000.9428839321,9.30573626482814
2018-10-01,11434.4348386218,9.344384681415791
2018-11-01,15287.1928377326,9.63477068741304
2018-12-01,12316.8889211246,9.418726682562312
2019-01-01,10959.13127902,9.3019282944974
2019-02-01,12258.3184966613,9.41396004646725
2019-03-01,11563.1520201373,9.355578771161566
2019-04-01,12788.6221136393,9.456311157232236
2019-05-01,12577.7130637259,9.439681722291633
2019-06-01,10053.6476292576,9.215690795822297
2019-07-01,13050.4600435993,9.476578664512576
2019-08-01,13691.8999000503,9.52455968878858
2019-09-01,15557.562008641798,9.652302102207038
2019-10-01,14663.3327134512,9.593105283400357
2019-11-01,13143.7577789668,9.483702231288538
2019-12-01,12929.0548769654,9.467232373732003
2020-01-01,14263.7179493683,9.565474385747384
2020-02-01,13623.7421589964,9.51956929666405
2020-03-01,13376.4785050398,9.501253108087726
2020-04-01,10718.2565691839,9.279703787926884
2020-05-01,11785.4602782234,9.374621870884466
2020-06-01,11590.8139684133,9.357968164101877
2020-07-01,13111.0612349283,9.481211521988708
2020-08-01,13811.8941990036,9.533285398402612
2020-09-01,14643.3490057501,9.591741518577726
2020-10-01,15388.5500378348,9.641379007828814
2020-11-01,14744.1566371406,9.598602123081928
2020-12-01,15409.6519977935,9.642749345177497
2021-01-01,15778.3324227563,9.666392912184284
2021-02-01,14589.7167548535,9.588072227678865
2021-03-01,16913.9925375235,9.735896519140905
2021-04-01,17237.1287926257,9.754820986996622
2021-05-01,17418.2791918302,9.765275462050058
2021-06-01,17728.0579654602,9.782903859253995
2021-07-01,17948.0388297994,9.79523613055461
2021-08-01,20349.9831729804,9.920835363989829
2021-09-01,17202.6692176426,9.75281983783352
2021-10-01,16233.897270718,9.694856759268452
2021-11-01,18759.6715756882,9.839464715780544
2021-12-01,18789.5190520908,9.841054496129466
2022-01-01,17686.2553245178,9.7805430815642
2022-02-01,18591.9182208562,9.830482261021922
2022-03-01,18580.4726324316,9.829866449742445
2022-04-01,17700.8340911022,9.781367041242714
2022-05-01,19354.2478160154,9.87066719974123
2022-06-01,18190.9700440525,9.808680598515354
2022-07-01,15683.4429023296,9.66036084265446
2022-08-01,15157.0383916748,9.626220283362064
2022-09-01,17392.2573674766,9.763780407289484
2022-10-01,15723.5879248187,9.662917279432811
2022-11-01,15648.4437198171,9.658126748200345
2022-12-01,15992.834798388796,9.679896075817611
2023-01-01,15135.8677009218,9.624822550563833
2023-02-01,18537.9830202102,9.827577042490283
2023-03-01,17925.1066789749,9.793957616857359
2023-04-01,13261.0816864046,9.492588835556417
2023-05-01,14164.4216563361,9.55848858236904
2023-06-01,16863.9790814926,9.732935210916494
2023-07-01,15646.4228907692,9.657997600562437
2023-08-01,16361.1505265471,9.702664933267574
2023-09-01,16230.1850935003,9.694628064849049
2023-10-01,15508.1633606269,9.64912183269374
2023-11-01,15877.1924127097,9.67263891896293
2023-12-01,15871.9948669249,9.672311506120172
2024-01-01,16395.4463379009,9.704758912933855
2024-02-01,14990.9046638535,9.615198940433258
2024-03-01,14203.8828874419,9.561270648988287
2024-04-01,15919.7795503048,9.675317611959835
2024-05-01,15952.6730515192,9.67738168360839
2024-06-01,14001.8608107607,9.546945514819308
2024-07-01,15373.3755284732,9.640392430407989
2024-08-01,14326.753784306798,9.569883962313078
2024-09-01,12785.5574556985,9.456071489097651
2024-10-01,13880.266697211202,9.538223448372683
2024-11-01,13328.9455507176,9.497693306571861
2024-12-01,12915.2812024962,9.466166478618202
